"COMPANY NAME","ROC NO","URL","CLUSTER","ID","MARCH","YEAR"
"1001tech IPvox Sdn Bhd","537018-X","1001tech.com.my/","InfoTech","CS/3/1368","Active","2002"
"100Comments Sdn Bhd","1245912-H","100Comments.com","InfoTech","CS/3/10605","Active","2017"
"108 Media Holdings Sdn Bhd","682497-U","NULL","Creative Content & Technologies","CS/3/7231","Active","2012"
"12 u 12 Sdn Bhd","1219353-D","NULL","InfoTech","CS/3/10603","Active","2017"
"2Stallions Sdn Bhd","1390627-T","2stallions.com/","InfoTech","MSC/S/00093","Active","2021"
"3B Vision International Sdn Bhd","803607-W","NULL","InfoTech","CS/3/5831","Active","2009"
"3i Infotech Sdn Bhd","593827-M","3i-infotech.com","InfoTech","CS/3/1315","Active","2002"
"3kal Soluzions Sdn Bhd","689339-A","3kal.com","InfoTech","CS/3/2477","Active","2005"
"3ntity Berhad","429594-X","3ntity.com","InfoTech","CS/3/550","Active","2000"
"3thirds Inc Sdn Bhd","756227-V","3thirds.net","InfoTech","CS/3/4653","Active","2007"
"3TP Sdn Bhd","750579-T","3tp.com.my","InfoTech","CS/3/3763","Active","2007"
"4 Thirteen Group Sdn Bhd","1103326-V","NULL","InfoTech","CS/3/8977","Active","2015"
"7Zero Digital Insight Sdn Bhd","1220477-X","NULL","InfoTech","CS/3/10855","Active","2018"
"A Visual Sdn Bhd","909155-V","NULL","Creative Content & Technologies","CS/3/6727","Active","2010"
"A&A Resource Solutions Sdn Bhd","1128385-U","onsightsolutions.com","InfoTech","CS/3/9399","Active","2016"
"A5SA Technology Sdn Bhd","1144645-T","NULL","InfoTech","CS/3/10502","Active","2018"
"AA International Hub Sdn Bhd","916214-X","NULL","Global Business Services","CS/3/7078","Active","2011"
"AAA Consult & Resources Sdn Bhd","802028-P","NULL","InfoTech","CS/3/7622","Active","2013"
"Aathav Resources Sdn Bhd","1180646-K","athavtechnologies.com","InfoTech","CS/3/10609","Active","2017"
"Abeo Internationnal Sdn  Bhd","958482-K","NULL","Global Business Services","CS/3/10359","Active","2017"
"ABS INNOVATIONS SDN BHD","901792-T","abs.global","InfoTech","CS/3/8538","Active","2018"
"ABS Software International Sdn Bhd","1041378-A","NULL","InfoTech","CS/3/7907","Active","2013"
"ABS Technovations Sdn Bhd","567590-W","abs.global","InfoTech","CS/3/467","Active","2001"
"Absec MSC Sdn Bhd","1020267-V","absecmy.com","InfoTech","CS/3/5592","Active","2012"
"Abyres MSC Sdn Bhd","760798-M","abyres.net","InfoTech","CS/3/4342","Active","2007"
"AccelTeam Sdn Bhd","396737-M","accelteam.com.my","InfoTech","CS/3/1320","Active","2002"
"Accenture Operations Services Sdn Bhd","887191-D","chartisinsurance.com","Global Business Services","CS/3/6455","Active","2010"
"Access Devices Asia Sdn Bhd","579439-P","accessdevicesasia.com","InfoTech","CS/3/3049","Active","2006"
"Access Motion Sdn Bhd","1052637-D","access-mobile.com","InfoTech","CS/3/9964","Active","2017"
"ACCESS Workspace Malaysia Sdn Bhd","1161382-X","volcanic.co.uk","InfoTech","CS/3/9570","Active","2016"
"Accion Labs Sdn Bhd","1075594-A","NULL","Global Business Services","CS/3/8577","Active","2014"
"Accord Innovations Sdn Bhd","1157399-V","NULL","Global Business Services","CS/3/9614","Active","2015"
"Accordia Global Sdn Bhd","918977-H","accordiasolution.com","InfoTech","CS/3/6974","Active","2012"
"ACD Development Sdn bhd","1160879-K","NULL","Global Business Services","CS/3/10202","Active","2016"
"ACE Dot My Sdn Bhd","626982-V","ace.my/en","InfoTech","CS/3/9237","Active","2016"
"Ace Resource Advisory Services Sdn Bhd","1034193-T","NULL","Global Business Services","CS/3/8063","Active","2013"
"Ace Technology Solutions Sdn Bhd","948841-X","ace-tech-solutions.com","InfoTech","CS/3/7339","Active","2011"
"ACN Secure Solutions Sdn Bhd","1025949-K","NULL","InfoTech","CS/3/7894","Active","2012"
"Acodes Tech Sdn Bhd","1198652-A","NULL","InfoTech","CS/3/10317","Active","2017"
"Acsuss Technologies Sdn Bhd","477449-X","acsuss.com","InfoTech","CS/3/3233","Active","2006"
"Actiontintoy Design Laboratory Sdn Bhd","1025047-V","actiontintoy.com","Creative Content & Technologies","CS/3/7875","Active","2012"
"Actix Sdn Bhd","860467-X","actix.com","Global Business Services","CS/3/5976","Active","2009"
"Acumen IT Infotech Sdn Bhd","1133733-U","acumenit-infotech.com","InfoTech","CS/3/9284","Active","2016"
"Acura Technologies Sdn Bhd","1005387-T","NULL","InfoTech","CS/3/7852","Active","2012"
"Adacode Systems Sdn Bhd","600812-H","adacode.my","InfoTech","CS/3/7645","Active","2012"
"Addeen Multimedia Sdn Bhd","857531-A","addeenmultimedia.com","Creative Content & Technologies","CS/3/8404","Active","2015"
"ADF Innovation Sdn Bhd","1159558-A","NULL","InfoTech","CS/3/9646","Active","2016"
